iter	Passed	Remaining
417	2740	3816
418	2746	3808
419	2752	3801
420	2758	3794
421	2764	3786
422	2769	3778
423	2775	3770
424	2781	3763
425	2788	3756
426	2793	3749
427	2800	3742
428	2806	3734
429	2811	3727
430	2817	3719
431	2823	3712
432	2830	3705
433	2836	3699
434	2842	3691
435	2848	3684
436	2854	3677
437	2860	3669
438	2865	3662
439	2871	3654
440	2877	3647
441	2883	3640
442	2889	3633
443	2896	3626
444	2902	3620
445	2910	3614
446	2917	3608
447	2924	3602
448	2931	3597
449	2949	3605
450	2956	3599
451	2963	3593
452	2970	3586
453	2976	3579
454	2982	3572
455	2988	3565
456	2994	3558
457	3001	3551
458	3007	3544
459	3013	3537
460	3019	3530
461	3025	3523
462	3031	3516
463	3038	3509
464	3044	3502
465	3050	3495
466	3058	3490
467	3065	3484
468	3071	3477
469	3077	3470
470	3083	3463
471	3090	3457
472	3097	3450
473	3103	3444
474	3110	3437
475	3116	3430
476	3121	3423
477	3128	3416
478	3134	3409
479	3141	3402
480	3147	3396
481	3153	3389
482	3160	3382
483	3166	3375
484	3172	3368
485	3178	3361
486	3184	3354
487	3190	3347
488	3196	3340
489	3202	3332
490	3208	3325
491	3214	3318
492	3220	3312
493	3226	3304
494	3232	3297
495	3237	3289
496	3243	3282
497	3249	3275
498	3254	3267
499	3260	3260
500	3266	3252
501	3272	3246
502	3279	3240
503	3302	3250
504	3308	3242
505	3314	3235
506	3319	3227
507	3324	3220
508	3330	3212
509	3336	3205
510	3342	3198
511	3362	3205
512	3369	3198
513	3375	3191
514	3381	3184
515	3387	3177
516	3393	3170
517	3398	3162
518	3404	3155
519	3409	3147
520	3415	3140
521	3421	3132
522	3426	3125
523	3432	3117
524	3438	3110
525	3443	3103
526	3450	3096
527	3455	3089
528	3461	3081
529	3466	3074
530	3473	3067
531	3480	3061
532	3486	3054
533	3492	3048
534	3499	3041
535	3505	3034
536	3512	3028
537	3518	3021
538	3524	3014
539	3530	3007
540	3536	3000
541	3542	2993
542	3548	2986
543	3554	2979
544	3561	2972
545	3567	2966
546	3573	2959
547	3579	2952
548	3586	2946
549	3592	2939
550	3598	2932
551	3604	2925
552	3610	2918
553	3617	2911
554	3622	2904
555	3628	2897
556	3635	2891
557	3641	2884
558	3647	2877
559	3654	2871
560	3661	2864
561	3667	2858
562	3674	2851
563	3681	2845
564	3693	2843
565	3700	2837
566	3706	2830
567	3712	2823
568	3718	2816
569	3724	2809
570	3730	2802
571	3736	2795
572	3742	2788
573	3748	2782
574	3755	2775
575	3761	2768
576	3767	2762
577	3773	2755
578	3779	2748
579	3785	2741
580	3791	2734
581	3797	2727
582	3803	2720
583	3809	2713
584	3816	2707
585	3822	2700
586	3828	2693
587	3835	2687
588	3841	2680
589	3848	2674
590	3855	2667
591	3860	2660
592	3866	2654
593	3873	2647
594	3879	2640
595	3884	2633
596	3890	2626
597	3896	2619
598	3903	2612
599	3909	2606
600	3915	2599
601	3922	2593
602	3929	2586
603	3935	2580
604	3941	2573
605	3947	2566
606	3953	2559
607	3960	2553
608	3966	2546
609	3972	2540
610	3978	2533
611	3985	2526
612	3990	2519
613	3996	2512
614	4003	2506
615	4010	2499
616	4016	2493
617	4023	2486
618	4028	2479
619	4034	2472
620	4040	2465
621	4046	2459
622	4052	2452
623	4059	2445
624	4065	2439
625	4071	2432
626	4077	2425
627	4083	2418
628	4088	2411
629	4094	2404
630	4100	2398
631	4106	2391
632	4112	2384
633	4118	2377
634	4124	2371
635	4130	2364
636	4136	2357
637	4142	2350
638	4148	2343
639	4154	2337
640	4161	2330
641	4167	2323
642	4173	2317
643	4179	2310
644	4185	2303
645	4192	2297
646	4198	2290
647	4205	2284
648	4212	2278
649	4217	2271
650	4223	2264
651	4229	2257
652	4236	2251
653	4242	2244
654	4248	2237
