iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
137	1266	1808	1266	4014	1266	1808	4014
138	1267	1810	1267	4014	1267	1810	4014
139	1265	1807	1265	4014	1265	1807	4014
140	1269	1812	1269	4014	1269	1812	4014
141	1268	1811	1268	4014	1268	1811	4014
142	1268	1813	1268	4014	1268	1813	4014
143	1267	1812	1267	4014	1267	1812	4014
144	1268	1809	1268	4014	1268	1809	4014
145	1267	1808	1267	4014	1267	1808	4014
146	1272	1813	1272	4014	1272	1813	4014
147	1272	1814	1272	4014	1272	1814	4014
148	1271	1816	1271	4014	1271	1816	4014
149	1271	1818	1271	4014	1271	1818	4014
150	1269	1816	1269	4014	1269	1816	4014
151	1271	1817	1271	4014	1271	1817	4014
152	1272	1819	1272	4014	1272	1819	4014
153	1276	1823	1276	4014	1276	1823	4014
154	1276	1825	1276	4014	1276	1825	4014
155	1273	1821	1273	4014	1273	1821	4014
156	1274	1823	1274	4014	1274	1823	4014
157	1276	1826	1276	4014	1276	1826	4014
158	1275	1825	1275	4014	1275	1825	4014
159	1274	1825	1274	4014	1274	1825	4014
160	1275	1825	1275	4014	1275	1825	4014
161	1275	1824	1275	4014	1275	1824	4014
162	1276	1826	1276	4014	1276	1826	4014
163	1278	1826	1278	4014	1278	1826	4014
164	1277	1825	1277	4014	1277	1825	4014
165	1277	1826	1277	4014	1277	1826	4014
166	1277	1827	1277	4014	1277	1827	4014
167	1276	1826	1276	4014	1276	1826	4014
168	1276	1827	1276	4014	1276	1827	4014
169	1276	1826	1276	4014	1276	1826	4014
170	1277	1826	1277	4014	1277	1826	4014
171	1277	1827	1277	4014	1277	1827	4014
172	1277	1825	1277	4014	1277	1825	4014
173	1278	1826	1278	4014	1278	1826	4014
174	1277	1825	1277	4014	1277	1825	4014
175	1278	1826	1278	4014	1278	1826	4014
176	1278	1827	1278	4014	1278	1827	4014
177	1282	1829	1282	4014	1282	1829	4014
178	1282	1829	1282	4014	1282	1829	4014
179	1281	1829	1281	4014	1281	1829	4014
180	1279	1826	1279	4014	1279	1826	4014
181	1280	1827	1280	4014	1280	1827	4014
182	1282	1828	1282	4014	1282	1828	4014
183	1282	1828	1282	4014	1282	1828	4014
184	1282	1829	1282	4014	1282	1829	4014
185	1283	1833	1283	4014	1283	1833	4014
186	1284	1832	1284	4014	1284	1832	4014
187	1286	1837	1286	4014	1286	1837	4014
188	1287	1837	1287	4014	1287	1837	4014
189	1288	1837	1288	4014	1288	1837	4014
190	1288	1837	1288	4014	1288	1837	4014
191	1288	1836	1288	4014	1288	1836	4014
192	1286	1833	1286	4014	1286	1833	4014
193	1287	1834	1287	4014	1287	1834	4014
194	1287	1834	1287	4014	1287	1834	4014
195	1290	1837	1290	4014	1290	1837	4014
196	1289	1838	1289	4014	1289	1838	4014
197	1292	1839	1292	4014	1292	1839	4014
198	1292	1841	1292	4014	1292	1841	4014
199	1292	1841	1292	4014	1292	1841	4014
200	1292	1844	1292	4014	1292	1844	4014
201	1292	1843	1292	4014	1292	1843	4014
202	1292	1843	1292	4014	1292	1843	4014
203	1294	1844	1294	4014	1294	1844	4014
204	1295	1846	1295	4014	1295	1846	4014
205	1296	1845	1296	4014	1296	1845	4014
206	1296	1848	1296	4014	1296	1848	4014
207	1292	1844	1292	4014	1292	1844	4014
208	1293	1844	1293	4014	1293	1844	4014
209	1293	1843	1293	4014	1293	1843	4014
210	1292	1844	1292	4014	1292	1844	4014
211	1292	1844	1292	4014	1292	1844	4014
212	1291	1844	1291	4014	1291	1844	4014
213	1294	1846	1294	4014	1294	1846	4014
214	1295	1845	1295	4014	1295	1845	4014
215	1294	1844	1294	4014	1294	1844	4014
216	1295	1845	1295	4014	1295	1845	4014
217	1293	1840	1293	4014	1293	1840	4014
218	1293	1840	1293	4014	1293	1840	4014
219	1294	1841	1294	4014	1294	1841	4014
220	1294	1841	1294	4014	1294	1841	4014
221	1294	1840	1294	4014	1294	1840	4014
222	1294	1841	1294	4014	1294	1841	4014
223	1297	1844	1297	4014	1297	1844	4014
224	1295	1843	1295	4014	1295	1843	4014
225	1296	1845	1296	4014	1296	1845	4014
226	1298	1847	1298	4014	1298	1847	4014
227	1297	1844	1297	4014	1297	1844	4014
228	1300	1846	1300	4014	1300	1846	4014
229	1300	1843	1300	4014	1300	1843	4014
230	1300	1843	1300	4014	1300	1843	4014
231	1300	1844	1300	4014	1300	1844	4014
232	1299	1842	1299	4014	1299	1842	4014
233	1298	1840	1298	4014	1298	1840	4014
234	1299	1842	1299	4014	1299	1842	4014
235	1300	1844	1300	4014	1300	1844	4014
236	1302	1844	1302	4014	1302	1844	4014
237	1303	1844	1303	4014	1303	1844	4014
238	1304	1846	1304	4014	1304	1846	4014
239	1304	1847	1304	4014	1304	1847	4014
240	1303	1843	1303	4014	1303	1843	4014
241	1304	1844	1304	4014	1304	1844	4014
242	1303	1844	1303	4014	1303	1844	4014
243	1303	1843	1303	4014	1303	1843	4014
244	1305	1843	1305	4014	1305	1843	4014
245	1307	1846	1307	4014	1307	1846	4014
246	1307	1848	1307	4014	1307	1848	4014
247	1309	1847	1309	4014	1309	1847	4014
248	1309	1848	1309	4014	1309	1848	4014
249	1309	1848	1309	4014	1309	1848	4014
250	1312	1851	1312	4014	1312	1851	4014
251	1310	1848	1310	4014	1310	1848	4014
252	1312	1850	1312	4014	1312	1850	4014
253	1312	1849	1312	4014	1312	1849	4014
254	1311	1848	1311	4014	1311	1848	4014
255	1311	1847	1311	4014	1311	1847	4014
256	1311	1849	1311	4014	1311	1849	4014
257	1311	1847	1311	4014	1311	1847	4014
258	1311	1846	1311	4014	1311	1846	4014
259	1311	1846	1311	4014	1311	1846	4014
260	1317	1849	1317	4014	1317	1849	4014
261	1313	1845	1313	4014	1313	1845	4014
262	1313	1845	1313	4014	1313	1845	4014
263	1314	1847	1314	4014	1314	1847	4014
264	1315	1849	1315	4014	1315	1849	4014
265	1315	1849	1315	4014	1315	1849	4014
266	1314	1847	1314	4014	1314	1847	4014
267	1315	1849	1315	4014	1315	1849	4014
268	1315	1848	1315	4014	1315	1848	4014
269	1315	1848	1315	4014	1315	1848	4014
270	1317	1850	1317	4014	1317	1850	4014
271	1316	1849	1316	4014	1316	1849	4014
272	1316	1849	1316	4014	1316	1849	4014
273	1318	1849	1318	4014	1318	1849	4014
274	1318	1846	1318	4014	1318	1846	4014
275	1318	1847	1318	4014	1318	1847	4014
276	1317	1846	1317	4014	1317	1846	4014
277	1318	1847	1318	4014	1318	1847	4014
278	1318	1847	1318	4014	1318	1847	4014
279	1321	1850	1321	4014	1321	1850	4014
280	1321	1850	1321	4014	1321	1850	4014
281	1323	1852	1323	4014	1323	1852	4014
282	1324	1854	1324	4014	1324	1854	4014
283	1325	1856	1325	4014	1325	1856	4014
284	1324	1854	1324	4014	1324	1854	4014
285	1326	1855	1326	4014	1326	1855	4014
286	1325	1854	1325	4014	1325	1854	4014
287	1326	1854	1326	4014	1326	1854	4014
288	1328	1856	1328	4014	1328	1856	4014
289	1324	1854	1324	4014	1324	1854	4014
290	1325	1854	1325	4014	1325	1854	4014
