iter	Logloss	Accuracy
66	0.4254457071	0.8245687842
67	0.4251255114	0.8245161969
68	0.4249460196	0.8243058477
69	0.4245510042	0.8244110223
70	0.4242418438	0.8244636096
71	0.4240195316	0.8244110223
72	0.4237067725	0.8244636096
73	0.4233992586	0.8244110223
74	0.4231828903	0.8245161969
75	0.42297979	0.8245161969
76	0.4227744403	0.8245687842
77	0.4225636383	0.8246213715
78	0.4223020323	0.8246213715
79	0.4221711282	0.8245161969
80	0.4220058931	0.8244636096
81	0.4218434387	0.824358435
82	0.4216868872	0.8245161969
83	0.4214986227	0.8247265461
84	0.4213210567	0.8247265461
85	0.4210859664	0.8246213715
86	0.4209241306	0.8246739588
87	0.4207174373	0.8246213715
88	0.4205099949	0.8247265461
89	0.4203400443	0.824884308
90	0.4201407391	0.824884308
91	0.4200094968	0.8247791334
92	0.4197903497	0.8251472444
93	0.4196936714	0.8251472444
94	0.4195594275	0.8251998317
95	0.4193633582	0.8251998317
96	0.4191572346	0.8251998317
97	0.4190062226	0.8251472444
98	0.4188351368	0.8250946571
99	0.4186140195	0.8250946571
100	0.4185547076	0.8250946571
101	0.4184485021	0.8251998317
102	0.4183038544	0.8250946571
103	0.4181402439	0.8254101809
104	0.4179891508	0.825252419
105	0.4179010813	0.8253575936
106	0.4177021577	0.8255153555
107	0.4175321664	0.8255679428
108	0.4174073221	0.8256205301
109	0.4172946446	0.8255153555
110	0.4171935834	0.8255679428
111	0.4170874301	0.8257257047
112	0.4169768251	0.825778292
113	0.4169081731	0.8257257047
114	0.4167895895	0.825778292
115	0.4167791141	0.8257257047
116	0.4166849008	0.8257257047
117	0.4165386012	0.8255679428
118	0.4163472425	0.8256731174
119	0.4162101697	0.8259886411
120	0.4161194393	0.8261989903
121	0.4159866552	0.8263041649
122	0.4158841749	0.826146403
123	0.415783276	0.826146403
124	0.4157014681	0.8263041649
125	0.4155710296	0.8264093395
126	0.4154016895	0.8263041649
127	0.4153267058	0.8261989903
128	0.4152660042	0.8263041649
129	0.4150451629	0.8263041649
130	0.4149387764	0.8263567522
131	0.4148489421	0.8265145141
132	0.4146299997	0.8265671014
133	0.4145052177	0.8266196887
134	0.4144384419	0.826672276
135	0.4143102596	0.8267774506
136	0.4142022733	0.8269352125
137	0.4140899157	0.8269877997
138	0.4139748284	0.8269877997
139	0.4138579458	0.8269352125
140	0.4137275342	0.8270929743
141	0.4136445958	0.827040387
142	0.4135787559	0.8269352125
143	0.4134852693	0.8268826252
144	0.4134236861	0.8271455616
145	0.4133415154	0.8270929743
146	0.4132462634	0.8273559108
147	0.4131611379	0.8273033235
148	0.4130681123	0.8270929743
149	0.4129542023	0.8269877997
150	0.4128126254	0.8268826252
151	0.4126494171	0.827040387
152	0.4124933867	0.827040387
153	0.4123569985	0.8272507362
154	0.412238155	0.8271455616
155	0.4121318377	0.827040387
156	0.4119869643	0.827040387
157	0.4118946024	0.8270929743
158	0.4117100142	0.827040387
159	0.4116096522	0.8269352125
160	0.4115145013	0.827040387
161	0.4114503327	0.8270929743
162	0.4113687574	0.8270929743
163	0.411279641	0.8273033235
164	0.4112079934	0.8272507362
165	0.4110931781	0.8271981489
166	0.4109847602	0.8271455616
167	0.4108970713	0.8270929743
168	0.4108059258	0.827040387
169	0.4106949081	0.8270929743
170	0.410610862	0.8271981489
171	0.4105486215	0.8271455616
172	0.4104158748	0.8272507362
173	0.4103050693	0.8273033235
174	0.4101923684	0.8272507362
175	0.4101515406	0.8273033235
176	0.4100822083	0.8272507362
177	0.4099880914	0.82756626
178	0.4099439887	0.82756626
179	0.409862362	0.8274610854
180	0.4097696145	0.8274084981
181	0.4097043049	0.8274610854
182	0.4096117375	0.8276188473
183	0.4095194494	0.8276188473
184	0.4094551048	0.82756626
185	0.4093659546	0.8274610854
186	0.4092923477	0.8276188473
187	0.4091623147	0.82756626
188	0.4090809669	0.8276714346
189	0.4089384288	0.8277766092
190	0.4088927599	0.8277766092
191	0.408828171	0.8278291965
192	0.4087534209	0.8277766092
193	0.4086120398	0.8278291965
194	0.4085153131	0.8278291965
195	0.4084356229	0.8279869584
196	0.4083370227	0.8278291965
197	0.4082756758	0.8280921329
198	0.4081637952	0.8279869584
199	0.4080521189	0.8279869584
200	0.4079242229	0.8278291965
201	0.407778067	0.8278817838
202	0.4076757681	0.8278817838
203	0.4075336033	0.8280395456
204	0.4073797368	0.8280395456
205	0.4073082238	0.8281973075
206	0.407213189	0.8280395456
207	0.4071013121	0.8278291965
208	0.4069814045	0.8279343711
209	0.4069113434	0.8279869584
210	0.4067768463	0.8278291965
211	0.4067101932	0.8278291965
212	0.4066537157	0.8277240219
213	0.4065469562	0.8279343711
214	0.4064778486	0.8280921329
215	0.4063820429	0.8280395456
216	0.4062540071	0.8280921329
217	0.4060387547	0.8281447202
218	0.4059912871	0.8281447202
219	0.4059394062	0.8281973075
220	0.4058847268	0.8281973075
221	0.4058325803	0.8282498948
222	0.4057601591	0.8281973075
223	0.4056980834	0.8283550694
224	0.4056070348	0.8281973075
225	0.4055354658	0.8281973075
226	0.4054556791	0.8283024821
227	0.4053587203	0.8283550694
228	0.4052716558	0.8285654186
229	0.4052059461	0.8287231805
230	0.4050875546	0.8287231805
231	0.4050243744	0.8286705932
232	0.4048810679	0.8286705932
233	0.4047979221	0.8286705932
234	0.4047269292	0.8286705932
235	0.404612764	0.8286705932
236	0.4045128766	0.8288809424
237	0.4044743341	0.828986117
238	0.4043898962	0.828986117
239	0.4043077414	0.8289335297
240	0.4042194857	0.8290387042
241	0.4041413758	0.8290912915
242	0.4040954894	0.828986117
243	0.4040076299	0.8290387042
244	0.4039279741	0.8292490534
245	0.4037888159	0.8293016407
246	0.4037316693	0.8291964661
247	0.4036585355	0.8294594026
248	0.4035044404	0.8294068153
249	0.4034000645	0.8294068153
250	0.4032668151	0.8295645772
251	0.4031784438	0.8295119899
252	0.4031052428	0.8296171645
253	0.4030141995	0.8296697518
254	0.4029358267	0.8296171645
255	0.4028929959	0.8296697518
256	0.4028009794	0.8295645772
257	0.4027307703	0.8296697518
258	0.402646386	0.8297223391
259	0.4025570189	0.8297223391
260	0.4024706722	0.8301956247
261	0.4023907684	0.8299852756
262	0.4023547849	0.8299852756
263	0.4022283036	0.8299852756
264	0.4021019311	0.8299852756
265	0.4020723763	0.8299852756
266	0.4019493272	0.8299852756
267	0.4018572535	0.8299852756
268	0.4018056636	0.8300378629
269	0.4017438833	0.8300378629
270	0.401615808	0.8301430374
271	0.4014919429	0.8300904501
272	0.4014057501	0.8300904501
273	0.4012808611	0.8303007993
274	0.4011643012	0.8304585612
275	0.4010939465	0.8304059739
276	0.4009945833	0.8303533866
277	0.4009029897	0.8304059739
278	0.4008084167	0.8304059739
279	0.4007370223	0.8305637358
280	0.4006428571	0.8305637358
281	0.4006042878	0.8306689104
282	0.4004998766	0.8306689104
283	0.4003708244	0.8306689104
284	0.4003032626	0.8306689104
285	0.4002254691	0.8308266723
286	0.4000812984	0.830774085
287	0.3999734826	0.8308792596
288	0.399868125	0.8309844342
289	0.3996978633	0.8306689104
290	0.3996340905	0.830774085
291	0.3995771622	0.8307214977
292	0.3994860514	0.8308266723
293	0.3993781009	0.830774085
294	0.399279883	0.830774085
295	0.3991335311	0.8307214977
296	0.3990477188	0.8306689104
297	0.3990049019	0.8307214977
298	0.3988736393	0.8306689104
299	0.3986884765	0.8306163231
300	0.3986004079	0.8305637358
301	0.3984720683	0.8306689104
302	0.3983571348	0.8308266723
303	0.3982523645	0.8309318469
304	0.3981889246	0.8309844342
305	0.3980751392	0.8310370215
306	0.3979437918	0.831142196
307	0.3978497586	0.8309844342
308	0.3977867607	0.8309844342
309	0.3976853232	0.8311947833
310	0.3976634049	0.8311947833
311	0.3975688906	0.8311947833
312	0.3974675413	0.8311947833
313	0.3972677147	0.8312473706
314	0.3971406974	0.8311947833
315	0.3970507718	0.8311947833
316	0.3969397988	0.8312473706
317	0.3968318045	0.8312999579
318	0.3967216782	0.8313525452
319	0.3966066272	0.8316154817
320	0.3965511085	0.8314577198
321	0.3964725712	0.8314051325
322	0.3963407701	0.8313525452
323	0.3962036969	0.8314577198
324	0.3961514897	0.8315628944
325	0.3959839249	0.8318784182
326	0.3959157999	0.8319835928
327	0.3958358837	0.8319835928
328	0.3956952121	0.8320361801
329	0.3955881776	0.8319310055
330	0.3955069065	0.8318258309
331	0.3954427277	0.8318784182
332	0.395323538	0.8319835928
333	0.3952435499	0.8319310055
334	0.3951848618	0.8318784182
335	0.3950574595	0.8318258309
336	0.3949726225	0.8318258309
337	0.3948360627	0.8319310055
338	0.3946440088	0.8320361801
339	0.3945990043	0.8320887674
340	0.3944923256	0.8320887674
341	0.3944398084	0.8320887674
342	0.3943163169	0.8321413546
343	0.3941887142	0.8320887674
344	0.3941002754	0.8320887674
345	0.3939451146	0.8321413546
346	0.3938519642	0.8321413546
347	0.3937290287	0.8320361801
348	0.3936483542	0.8320361801
349	0.3935752484	0.8320361801
350	0.3934220064	0.8321939419
351	0.3933396862	0.8323517038
352	0.3932355039	0.8324042911
353	0.3931234074	0.8322465292
354	0.393039186	0.8322991165
355	0.3930037053	0.8322991165
356	0.3928927717	0.8322991165
357	0.3928038608	0.8323517038
358	0.3927016048	0.8322991165
359	0.3925989086	0.8324042911
360	0.3924837802	0.8325094657
361	0.3923814066	0.8323517038
362	0.3923056913	0.8325094657
363	0.3921984562	0.8325094657
364	0.3921056042	0.8326146403
365	0.3919446245	0.8328249895
366	0.3919060262	0.8329301641
367	0.3918446297	0.8329301641
368	0.3917242806	0.8330353387
369	0.391607231	0.833087926
370	0.391469194	0.8332982751
371	0.3913687501	0.8332456878
372	0.3912886983	0.8336663862
373	0.3912018879	0.8335086243
374	0.3910739163	0.8336137989
375	0.3909952399	0.8336137989
376	0.3909002481	0.8337189735
377	0.3907593791	0.8337189735
378	0.3906775707	0.8337189735
379	0.3905683679	0.8336663862
380	0.3904895652	0.8336663862
381	0.3904474841	0.8338241481
382	0.3903318608	0.8338767354
383	0.3901984967	0.8336663862
384	0.3900842902	0.8338241481
385	0.3899727633	0.8337189735
386	0.3898693376	0.8338241481
387	0.3897143225	0.8337715608
388	0.3896300841	0.8338767354
389	0.3895303206	0.8339293227
390	0.3894549986	0.8341922592
391	0.3894059762	0.8341396719
392	0.3893006769	0.8341922592
393	0.3891903348	0.8342448464
394	0.3890259598	0.8342974337
395	0.3888978862	0.8344026083
396	0.3887844072	0.8344551956
397	0.3887193612	0.8345603702
398	0.388635284	0.8344026083
399	0.388483534	0.8344551956
400	0.388392048	0.8346129575
401	0.3882626597	0.8346129575
402	0.3881666715	0.8346129575
403	0.3880157147	0.8346129575
404	0.3879125279	0.8346129575
405	0.3878268481	0.8346129575
406	0.3877308525	0.834875894
407	0.3876490803	0.8349810686
408	0.3875938275	0.8349284813
409	0.387517428	0.8349810686
410	0.3874506742	0.8350336559
411	0.3874185958	0.8351388305
412	0.3873567004	0.8350862432
413	0.3871840294	0.8351388305
414	0.3871382777	0.8353491796
415	0.3870039909	0.8354017669
416	0.3869317926	0.8352965923
417	0.3868164518	0.8357172907
418	0.3867710395	0.8357172907
419	0.3867008545	0.8357172907
420	0.3865615896	0.8358224653
421	0.386468212	0.8358750526
422	0.3863466432	0.8358224653
423	0.3862717998	0.8359276399
424	0.386195652	0.8360328145
425	0.3860397404	0.8360328145
426	0.3859438594	0.8360328145
427	0.3858551619	0.8359802272
428	0.3857915805	0.8360854018
429	0.3856673722	0.8360328145
430	0.3855676774	0.8360328145
431	0.3854033236	0.8361905764
432	0.3852721456	0.8362431637
433	0.3851811488	0.8362431637
434	0.3851580746	0.8362431637
435	0.3850842172	0.8361379891
436	0.3849699501	0.8361379891
437	0.384859863	0.8360328145
438	0.3847673463	0.8360328145
439	0.3847143934	0.8360328145
440	0.3845737028	0.8359802272
441	0.3845270921	0.8361905764
442	0.3844410667	0.8361905764
443	0.3843432667	0.8363483382
444	0.3842775397	0.8364009255
445	0.3841642505	0.8364009255
446	0.3840837521	0.8363483382
447	0.3839283132	0.8364535128
448	0.3838784908	0.8364535128
449	0.383760744	0.8365061001
450	0.3836240661	0.8364535128
451	0.3834992024	0.8365061001
452	0.3833717817	0.836663862
453	0.3832876791	0.8368742112
454	0.3831433729	0.8367164493
455	0.3830038225	0.8369793858
456	0.3829157111	0.8371371477
457	0.3828391048	0.8371371477
458	0.3827772632	0.8371371477
459	0.3826945184	0.8372949095
460	0.3825916608	0.8372949095
461	0.382510408	0.8370845604
462	0.382422227	0.8370319731
463	0.3823405039	0.8371371477
464	0.3822691537	0.837189735
465	0.3821734565	0.837189735
466	0.3820243087	0.8372949095
467	0.3818966404	0.8374000841
468	0.3817658339	0.8374526714
469	0.3816966647	0.8375052587
470	0.3815718405	0.8376104333
471	0.3814370824	0.8376104333
472	0.3813454807	0.8377156079
473	0.3812448188	0.8376630206
474	0.3810936855	0.8374526714
475	0.3810249452	0.8376104333
476	0.3809330996	0.837557846
477	0.3807795333	0.8378207825
478	0.3807082339	0.8378207825
479	0.3806373456	0.8378207825
480	0.3805411401	0.8378207825
481	0.3804390025	0.8378207825
482	0.3803386687	0.8381363063
483	0.3802776533	0.8381888936
484	0.3802131324	0.8381363063
485	0.3801654621	0.8381363063
486	0.3800869488	0.8381363063
487	0.3799807728	0.8383466554
488	0.3798861948	0.8382940682
489	0.3798117215	0.8383466554
490	0.3797188441	0.8383466554
491	0.3796140206	0.8385044173
492	0.3794774746	0.8386621792
493	0.379355421	0.8387147665
494	0.3792975971	0.8387147665
495	0.3792401485	0.8387147665
496	0.3791734865	0.8387673538
497	0.3790696837	0.8388199411
498	0.3789300546	0.8387673538
499	0.3788396421	0.8387673538
500	0.3787125111	0.8386621792
501	0.378607283	0.8387147665
502	0.3785245616	0.8388725284
503	0.3783978827	0.8388725284
504	0.3783128521	0.8388725284
505	0.378197653	0.8388725284
506	0.3781012323	0.8388199411
507	0.3779539927	0.8388725284
508	0.3778243162	0.8389251157
509	0.3777353442	0.8390302903
510	0.3776186491	0.8390302903
511	0.3774961297	0.8390302903
512	0.3774054061	0.8391880522
513	0.3772592413	0.8391880522
514	0.3771808228	0.8392406395
515	0.3770658683	0.8392406395
516	0.3769936544	0.8392932268
517	0.3768722819	0.8394509886
518	0.3768195849	0.8395035759
519	0.3767522732	0.8395035759
520	0.3766499014	0.8395035759
521	0.3765291692	0.8395035759
522	0.3764469503	0.8395561632
523	0.3763332696	0.8395561632
524	0.3762171852	0.8395561632
525	0.3761144649	0.8395561632
526	0.3760533633	0.8395035759
527	0.3759176718	0.8396087505
528	0.3758509101	0.8396087505
529	0.3757686469	0.8396613378
530	0.3756967936	0.8398190997
531	0.3755581352	0.8397139251
532	0.3754807078	0.8396613378
533	0.3754097837	0.8397665124
534	0.3753376839	0.8397665124
535	0.3752490747	0.8397665124
536	0.3751904736	0.8397139251
537	0.3751142419	0.8399768616
538	0.3750626481	0.8399768616
539	0.3749615144	0.8399768616
540	0.3748632358	0.8401346235
541	0.3747576706	0.8400294489
542	0.3747005991	0.8400294489
543	0.3746005889	0.8400820362
544	0.3744942991	0.8401346235
545	0.3743641021	0.8402397981
546	0.3742336778	0.8402397981
547	0.3741291348	0.8402923854
548	0.3740319122	0.8401872108
549	0.3739970634	0.8403449727
550	0.3739373976	0.8402923854
551	0.3738984615	0.8402923854
552	0.3738283597	0.8402923854
553	0.3737211209	0.8402397981
554	0.3736061183	0.8402397981
555	0.3735144683	0.8403975599
556	0.3734261304	0.8404501472
557	0.373277038	0.8404501472
558	0.3731854351	0.8405027345
559	0.373093361	0.8405553218
560	0.3729889382	0.8405553218
561	0.372935234	0.8405553218
562	0.372855194	0.8405553218
563	0.3727347941	0.8405027345
564	0.3726637931	0.8404501472
565	0.3725814436	0.8403975599
566	0.3725223666	0.8403975599
567	0.3724154215	0.8403449727
568	0.372274684	0.8405553218
569	0.3721528717	0.8404501472
570	0.3720428761	0.8406079091
571	0.3719486987	0.8406604964
572	0.3719056977	0.8407130837
573	0.3718173688	0.8407130837
574	0.3717129104	0.8407130837
575	0.3716317376	0.8408182583
576	0.3715273276	0.8409760202
577	0.3714271814	0.8409234329
578	0.3713271578	0.8409760202
579	0.3712575475	0.8408708456
580	0.3711489443	0.8409760202
581	0.3710297631	0.8411337821
582	0.37094501	0.8410811948
583	0.3708288111	0.8410811948
584	0.3707280327	0.8411863694
585	0.370632964	0.8411337821
586	0.3705240142	0.8410811948
587	0.3704523929	0.8409760202
588	0.3703667308	0.8411337821
589	0.3702735631	0.8411337821
590	0.3702117319	0.8411337821
591	0.3701645968	0.8411337821
592	0.3701037649	0.8411337821
593	0.3700073972	0.8411337821
594	0.3698590772	0.841291544
595	0.3697337005	0.8413967186
596	0.3696410197	0.8411863694
597	0.3695403581	0.8410811948
598	0.3694697048	0.8410811948
599	0.3693750771	0.8411863694
600	0.3692762528	0.841291544
601	0.3691711672	0.8414493058
602	0.3691036439	0.8413441313
603	0.3690694891	0.8413441313
604	0.3689647597	0.8413967186
605	0.3688990945	0.841659655
606	0.3688378035	0.841659655
607	0.3687544394	0.841659655
608	0.3686948177	0.8415018931
609	0.3686223486	0.8413967186
610	0.3685384639	0.8413967186
611	0.368422693	0.8416070677
612	0.3683710869	0.841659655
613	0.3682843113	0.8417648296
614	0.3681255065	0.8418700042
615	0.3680654536	0.8419225915
616	0.3679522147	0.8419225915
617	0.367916494	0.8419751788
618	0.3678033384	0.8419751788
619	0.3677447963	0.8419225915
620	0.3676715843	0.8418700042
621	0.36752142	0.8418700042
622	0.3674349826	0.8418700042
623	0.3673495955	0.8419751788
624	0.3672337366	0.842185528
625	0.3670944733	0.842185528
626	0.3670480136	0.842185528
627	0.3669845453	0.8422381153
628	0.3669276689	0.842185528
629	0.3668803043	0.842185528
630	0.3668220917	0.8422381153
631	0.3667334485	0.8423958772
632	0.3666583172	0.8424484645
633	0.3665592538	0.8425010517
634	0.3664491768	0.842553639
635	0.3663540517	0.8425010517
636	0.3662334206	0.8427639882
637	0.3661253495	0.8428691628
638	0.3660684025	0.8428691628
639	0.3659755217	0.8429217501
640	0.3658997402	0.8429743374
641	0.3658262527	0.8428691628
642	0.3656839236	0.8431320993
643	0.3656299471	0.8431320993
644	0.365559271	0.8431320993
645	0.3654450791	0.843079512
646	0.3653353084	0.8431320993
647	0.3653044707	0.8431846866
648	0.3652158292	0.8431320993
649	0.365112401	0.8434476231
650	0.365020833	0.8435002103
651	0.3649838872	0.8435002103
652	0.3648448296	0.8437631468
653	0.3647391799	0.8437631468
654	0.3646882891	0.8439209087
655	0.3645961489	0.8438157341
656	0.3645070661	0.8437105595
657	0.3643907821	0.8438683214
658	0.3643371254	0.8438683214
659	0.3642371517	0.843973496
660	0.3641777284	0.8440260833
661	0.3640944755	0.8440260833
662	0.3639911518	0.8440260833
663	0.3638518778	0.8441312579
664	0.3637661573	0.8443416071
665	0.3636929174	0.8443416071
666	0.3635460671	0.8442890198
667	0.3634483441	0.8442890198
668	0.3633347905	0.8443416071
669	0.3632445762	0.8443941944
670	0.363183995	0.8443416071
671	0.3631068515	0.844499369
672	0.3630650711	0.8445519562
673	0.36300766	0.8446045435
674	0.3628965742	0.8446045435
675	0.3627800886	0.8445519562
676	0.3627078239	0.8446571308
677	0.3626531597	0.8447097181
678	0.3625781048	0.8447623054
679	0.362452482	0.84486748
680	0.3623833979	0.8449726546
681	0.3622832483	0.8449200673
682	0.3621798657	0.8451830038
683	0.3620613116	0.845393353
684	0.3619938051	0.8453407657
685	0.3618711214	0.845393353
686	0.3618123948	0.8454459403
687	0.3617935773	0.8454985276
688	0.3617354894	0.8454985276
689	0.3616132904	0.8454459403
690	0.3615312568	0.8454459403
691	0.361432808	0.8456037021
692	0.361293875	0.8456037021
693	0.3611784862	0.8456562894
694	0.3610773902	0.845761464
695	0.360978921	0.845761464
696	0.3609167894	0.845761464
697	0.3608264364	0.845761464
698	0.3607138471	0.8458666386
699	0.3605860618	0.8459192259
700	0.3605331752	0.8459192259
701	0.3604727029	0.8461295751
702	0.3603886991	0.8461295751
703	0.3602956035	0.8461295751
704	0.3602150543	0.8461295751
705	0.3601007395	0.8462347497
706	0.3600195578	0.8462347497
707	0.3598693215	0.8463925116
708	0.3598342464	0.8464450989
709	0.3597706666	0.8463925116
710	0.3597003486	0.8463925116
711	0.3596478073	0.846287337
712	0.3595746239	0.8465502735
713	0.3594635818	0.8465502735
714	0.3594119836	0.8465502735
715	0.3593574764	0.8466028607
716	0.3592722795	0.8466028607
717	0.3592283338	0.8466028607
718	0.3591747717	0.846655448
719	0.359112567	0.8465502735
720	0.3590325508	0.846655448
721	0.3589518746	0.8467080353
722	0.3589059461	0.8468132099
723	0.3588296999	0.8468132099
724	0.3587613631	0.8469183845
725	0.3586698836	0.8469709718
726	0.3585692824	0.8469709718
727	0.3585094305	0.8469709718
728	0.358418758	0.8469183845
729	0.358313158	0.8469709718
730	0.3582495081	0.8469709718
731	0.35817684	0.8469709718
732	0.3580981748	0.8471287337
733	0.3580384544	0.8471287337
734	0.3579702242	0.847181321
735	0.3578815308	0.847181321
736	0.3577910769	0.8473390829
737	0.3576808951	0.8473390829
738	0.3576210203	0.8472864956
739	0.3575613259	0.8473916702
740	0.357500472	0.8476546066
741	0.3573936973	0.8476546066
742	0.35725783	0.8474968448
743	0.3571796001	0.8475494321
744	0.3571006981	0.8474968448
745	0.3570234473	0.8474968448
746	0.3569633035	0.8475494321
747	0.356831937	0.8477071939
748	0.3567639635	0.8476020194
749	0.3566863342	0.8476020194
750	0.3566325157	0.8477597812
751	0.3565714786	0.8477071939
752	0.3564766408	0.8479175431
753	0.3564136233	0.8479175431
754	0.3562804819	0.8478649558
755	0.3562046279	0.8480227177
756	0.3561273961	0.8479701304
757	0.3560280355	0.8479701304
758	0.355956261	0.8480227177
759	0.355861148	0.848075305
760	0.3557483531	0.848075305
761	0.3556860559	0.8480227177
762	0.3556137634	0.848075305
763	0.3555279712	0.8479701304
764	0.3554104363	0.8480227177
765	0.3553351723	0.848075305
766	0.3552677903	0.848075305
767	0.3551935535	0.848075305
768	0.3550643434	0.848075305
769	0.3549669522	0.848075305
770	0.354930365	0.8479701304
771	0.3548167089	0.848075305
772	0.3547734682	0.848075305
773	0.3547148447	0.8480227177
774	0.3546866473	0.8480227177
775	0.3546193238	0.8481804796
776	0.3545688358	0.848075305
777	0.3544594026	0.8482856542
778	0.3543443624	0.8482330669
779	0.3542667256	0.8482330669
780	0.3541545299	0.848075305
781	0.3540966421	0.8481278923
782	0.3540437871	0.8481278923
783	0.3539224646	0.8482856542
784	0.3538860725	0.8482856542
785	0.3538638104	0.8482330669
786	0.3538114495	0.8483382415
787	0.3537719605	0.8482856542
788	0.353685096	0.8481278923
789	0.3535842506	0.8481804796
790	0.3535072189	0.8482856542
791	0.3534163878	0.8482856542
792	0.3533187583	0.8484434161
793	0.3532051264	0.8486537653
794	0.353073849	0.8488641144
795	0.352994938	0.8488115271
796	0.3529609479	0.8488115271
797	0.3528714365	0.8488115271
798	0.3527578856	0.848969289
799	0.3526260902	0.8490744636
800	0.352570926	0.8490218763
801	0.3524888381	0.848969289
802	0.352384929	0.8490744636
803	0.3523263148	0.8490744636
804	0.3522389364	0.8490218763
805	0.3521453544	0.8490744636
806	0.352042121	0.8492848128
807	0.3519519527	0.8492322255
808	0.3518916582	0.8491270509
809	0.3518205817	0.8491270509
810	0.3517271172	0.8491270509
811	0.3516505529	0.8493374001
812	0.3515958241	0.8493899874
813	0.3515164732	0.8494425747
814	0.3514619907	0.849495162
815	0.3513963222	0.849495162
816	0.3512994212	0.8495477493
817	0.3512062162	0.8495477493
818	0.3511275412	0.8496529239
819	0.3510770466	0.8496529239
820	0.3509312439	0.8499158603
821	0.3508455509	0.8499684476
822	0.3507721496	0.8500736222
823	0.3506553025	0.8499158603
824	0.3505686141	0.8499158603
825	0.3505260237	0.8499158603
826	0.3504716348	0.8499158603
827	0.350368375	0.8499684476
828	0.3502556798	0.8500210349
829	0.3501554945	0.8501787968
830	0.350076266	0.8501787968
831	0.3500048417	0.8501787968
832	0.349914392	0.8501787968
833	0.3498469179	0.8501787968
834	0.3497799069	0.8501262095
835	0.3496973232	0.8501262095
836	0.3496186928	0.8500736222
837	0.3495474906	0.8500736222
838	0.3494391796	0.8502313841
839	0.3494173076	0.8502313841
840	0.3492756039	0.8501787968
841	0.3492218567	0.8501262095
842	0.3491631396	0.8501787968
843	0.3490835826	0.8501262095
844	0.3489976482	0.8502313841
845	0.3489234441	0.8503365587
846	0.348881209	0.8503365587
847	0.3488018115	0.8504417333
848	0.348722406	0.8505469079
849	0.3486699616	0.8505469079
850	0.3486153261	0.8505994952
851	0.3485521571	0.8504417333
852	0.3484626441	0.8504417333
853	0.3483825879	0.8504943206
854	0.348289497	0.8504943206
855	0.3482541522	0.8505469079
856	0.3481351436	0.8508098443
857	0.3480594139	0.8509150189
858	0.3480004387	0.8509150189
859	0.3479347043	0.8508098443
860	0.3478731724	0.8508098443
861	0.3478009048	0.8508098443
862	0.3477639302	0.8508624316
863	0.3476802793	0.8508624316
864	0.347616047	0.8509676062
865	0.3475830998	0.8509676062
866	0.347522018	0.8509676062
867	0.3474333738	0.8511253681
868	0.3473655873	0.8511779554
869	0.3472669629	0.8510201935
870	0.3471771278	0.8511253681
871	0.3470741682	0.8513357173
872	0.3470168877	0.8513357173
873	0.3470005422	0.8513357173
874	0.3469583842	0.8513357173
875	0.3469158976	0.8513357173
876	0.3468334626	0.8513357173
877	0.3467430249	0.8515460665
878	0.3466461791	0.8515460665
879	0.3465657617	0.8517564156
880	0.3465250009	0.8517564156
881	0.3464109661	0.8516512411
882	0.346317317	0.8517038284
